,Job_Title,Queried_Salary,Job_Type,Skill,No_of_Skills,Company,No_of_Stars
20,innovationOchsner (iO) - Data Scientist - Benson Tower,<80000,data_scientist,"['AI', 'Data Mining', 'Machine Learning', 'R', 'Natural Language Processing', 'Data Science', 'Python']",7,Ochsner Health System,4
21,Statistician/Data Scientist,<80000,data_scientist,"['IIS', 'TS/SCI Clearance']",2,Raytheon,4
22,Statistician / Data Scientist,<80000,data_scientist,"['IIS', 'TS/SCI Clearance']",2,Raytheon,4
23,"Environmental Data Scientist, Bureau of Environmental Survei...",<80000,data_scientist,"['Statistical Software', 'SAS', 'SQL', 'Tableau']",4,NYC Careers,4
24,Environmental Data Manager/Data Scientist (Associate Level),<80000,data_scientist,"['Microsoft SQL Server', 'Data Management', 'Power BI', 'CAD Software', 'SQL', 'Microsoft Access', 'SharePoint', 'ArcGIS']",8,ERM Group,3
25,Sr. Data Scientist - Secret,<80000,data_scientist,"['Data Mining', 'R', 'Python']",3,Deloitte,4
26,innovation Ochsner - iO - Data Scientist - Benson Tower,<80000,data_scientist,"['AI', 'Data Mining', 'Machine Learning', 'R', 'Natural Language Processing', 'Data Science', 'Python']",7,Ochsner Health System,4
27,"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,,0,Google,4
28,"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,,0,Google,4
29,Data Analysis & Machine Learning Postdoctoral Researcher,<80000,data_scientist,"['TensorFlow', 'Machine Learning', 'Git', 'Python', 'SVN']",5,Lawrence Livermore National Laboratory,4
30,Applied Machine Learning Scientist - Digital Imaging,<80000,data_scientist,"['TensorFlow', 'JavaScript', 'React', 'Data Mining', 'Adobe Photoshop', 'Machine Learning', 'CSS', 'HTML5']",8,Adobe,4
31,Machine Learning Scientist,<80000,data_scientist,"['TensorFlow', 'Machine Learning', 'R', 'Python', 'C/C++', 'SQL']",6,Intuitive Surgical,4
32,"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,,0,Google,4
33,Data Scientist/Sr. Scientific Programmer (Researcher 6),<80000,data_scientist,"['Machine Learning', 'Scripting', 'R', 'Perl', 'SQL', 'MATLAB', 'Python']",7,University of Minnesota,4
34,"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,,0,Google,4
35,Machine Learning Intern (Summer 2019),<80000,data_scientist,"['Splunk', 'Data Mining', 'Machine Learning', 'Data Science']",4,Splunk,4
36,Data Scientist (Research Director),<80000,data_scientist,['Grant Writing'],1,Southern Methodist University,4
37,Machine Learning Scientist II,<80000,data_scientist,"['Natural Language Processing', 'Hive', 'Spark', 'Microsoft Powerpoint', 'Machine Learning', 'Hadoop', 'MATLAB', 'Python']",8,Microsoft,4
38,DATA SCIENTIST AND TEAM LEAD (Data Analytics Practice),<80000,data_scientist,"['Data Mining', 'Statisical Analysis', 'Qualitative Research']",3,Duke University and Duke University Health System,4
39,"DATA SCIENTIST, PROSPECT RESEARCH, MGMT & ANALYTICS-UNIV DEV...",<80000,data_scientist,"['Java', 'R', 'SAS', 'Python', 'SQL', 'Tableau']",6,Duke University and Duke University Health System,4
40,"Senior Data Scientist, Supply Chain",<80000,data_scientist,"['AI', 'Quantitative Analysis', 'Microsoft SQL Server', 'Machine Learning', 'Visual Basic', 'R', 'SQL', '.Net', 'C#', 'Python']",10,Coyote Logistics,4
41,Machine Learning,<80000,data_scientist,"['Big Data', 'Natural Language Processing', 'Spark', 'Machine Learning', 'Hadoop']",5,Twitter,4
42,Temporary Content Developer - Machine Learning,<80000,data_scientist,"['TensorFlow', 'Machine Learning', 'Python']",3,iD Tech,4
43,Machine Learning,<80000,data_scientist,"['Big Data', 'Natural Language Processing', 'Spark', 'Machine Learning', 'Hadoop']",5,Twitter,4
44,Computer Vision Scientist (Machine Learning),<80000,data_scientist,"['TensorFlow', 'Machine Learning', 'Image Processing', 'C/C++']",4,Canvas Technology,0
45,FamilySearch Machine Learning Annotation Specialist,<80000,data_scientist,"['Machine Learning', 'Microsoft Powerpoint', 'Microsoft Office']",3,The Church of Jesus Christ of Latter-day Saints,5
46,Machine Learning Research Scientist - Optics & Photonics Lab,<80000,data_scientist,"['.Net', 'C#', 'Machine Learning', 'Software Development', 'MATLAB', 'Image Processing', 'Signal Processing', 'Python', 'C/C++']",9,Riverside Research,4
47,Machine Learning Researcher SAN FRANCISCOMEMBER OF TECHNICAL...,<80000,data_scientist,"['AI', 'Machine Learning']",2,OpenAI,0
48,Entry-Level Data Scientist,80000-99999,data_scientist,"['Java', 'Data Mining', 'Machine Learning', 'Design Experience', 'Scripting', 'R', 'SAS', 'Python']",8,IBM,4
49,Trainee as Data Scientist (January to June 2019),80000-99999,data_scientist,"['Pentaho', 'Excel']",2,Asendia Management SAS,0
50,Data Scientist,80000-99999,data_scientist,['Data Mining'],1,T-Mobile,4
51,Data Scientist-Tchnlgy,80000-99999,data_scientist,"['Microsoft SQL Server', 'Data Mining', 'R', 'Oracle', 'SAS', 'SQL', 'DB2']",7,Walmart,4
52,Data Scientist,80000-99999,data_scientist,,0,UES,4
53,Data Scientist,80000-99999,data_scientist,"['Natural Language Processing', 'Machine Learning']",2,"NextEra Energy, Inc.",4
54,Data Scientist - Life Sciences,80000-99999,data_scientist,"['AI', 'Next Generation Sequencing', 'Machine Learning', 'Bioinformatics']",4,Argonne National Laboratory,4
55,Data Scientist,80000-99999,data_scientist,"['Microsoft SQL Server', 'Data Mining', 'R', 'Oracle', 'SAS', 'SQL', 'DB2']",7,Walmart,4
56,Data Scientist,80000-99999,data_scientist,,0,Elder Research Inc,0
57,Data Scientist,80000-99999,data_scientist,"['.Net', 'Data Mining', 'C#', 'Machine Learning', 'R', 'C/C++', 'Python', 'SQL']",8,Microsoft,4
58,Data Scientist,80000-99999,data_scientist,"['Data Mining', 'Data Warehouse', 'R', 'SAS', 'Statisical Analysis', 'Python', 'SQL']",7,Dell,4
59,Data Scientist,80000-99999,data_scientist,,0,Elder Research Inc,0
60,Data Scientist - Labor Planning & Analytics,80000-99999,data_scientist,"['Machine Learning', 'R', 'Microsoft Office', 'SQL', 'Alteryx', 'Data Warehouse', 'Python']",7,Dick's Sporting Goods,4
61,Associate Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'R', 'Perl', 'C/C++', 'SQL', 'Big Data', 'SPSS', 'MATLAB', 'Data Mining', 'Ruby', 'Hadoop', 'SAS', 'Tableau', 'Java', 'Spark', 'Git', 'Python', 'Data Science']",18,Hallmark,4
62,D3 - Junior Data Scientist 1,80000-99999,data_scientist,"['Machine Learning', 'R', 'Perl', 'SPSS', 'MATLAB', 'Statistical Software', 'Hadoop', 'SAS', 'Java', 'Python']",10,Allstate,4
63,Data Scientist,80000-99999,data_scientist,"['R', 'Marketing', 'SAS', 'SQL', 'Python']",5,L. L. Bean,4
64,Data Scientist,80000-99999,data_scientist,,0,University of California San Francisco,4
65,Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'R', 'SAS', 'Python', 'SQL']",5,Wunderman,4
66,Data Scientist (Corporate),80000-99999,data_scientist,"['Data Mining', 'Statisical Analysis', 'Customer Service']",3,MGM Resorts International,4
67,Junior Data Scientist,80000-99999,data_scientist,"['Java', 'AI', 'Machine Learning']",3,Interactive Brokers,3
68,D3 - Junior Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'R', 'Perl', 'SPSS', 'MATLAB', 'Statistical Software', 'Hadoop', 'SAS', 'Java', 'Python']",10,Allstate,4
69,Data Scientist II (Forecasting & Scheduling),80000-99999,data_scientist,"['Predictive Analytics', 'Hive', 'Spark', 'Machine Learning', 'Python', 'SQL', 'AWS']",7,Grubhub,3
70,Data Scientist,80000-99999,data_scientist,"['Business Intelligence', 'Data Mining', 'Machine Learning', 'R', 'SAS', 'Sentiment Analytics', 'SQL', 'SPSS', 'Data Science', 'Python']",10,Amica Insurance Company,4
71,Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'Data Management', 'MATLAB', 'R', 'SAS']",5,UPMC,4
72,Data Scientist,80000-99999,data_scientist,"['JavaScript', 'Machine Learning', 'XML', 'Hadoop', 'R', 'SQL', 'HTML5', 'Shell Scripting', 'CSS', 'Python', 'AWS']",11,Hearts and Science,0
73,Data Scientist,80000-99999,data_scientist,"['JavaScript', 'Machine Learning', 'XML', 'Hadoop', 'R', 'SQL', 'HTML5', 'Shell Scripting', 'CSS', 'Python', 'AWS']",11,Hearts and Science,0
74,"Data Scientist, International Programs",80000-99999,data_scientist,"['Data Mining', 'Excel']",2,Operation Smile,5
75,Data Scientist (Python/R) – People Analytics - USDC,80000-99999,data_scientist,"['Data Mining', 'R', 'SAS', 'Sentiment Analytics', 'Microsoft Office', 'Tableau', 'Natural Language Processing', 'Python', 'Data Science']",9,Deloitte,4
76,Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'R', 'SAS', 'Microsoft Office', 'SQL']",5,Sedgwick Claims Management Services,3
77,Data Scientist II,80000-99999,data_scientist,"['Business Intelligence', 'Power BI', 'Tableau']",3,MetLife,4
78,Junior Data Scientist,80000-99999,data_scientist,"['AI', 'Machine Learning', 'R', 'Python', 'SQL', 'Tableau']",6,Dow Jones,4
79,"Data Scientist, Membership Analytics Job",80000-99999,data_scientist,"['Data Mining', 'Machine Learning', 'Project Management', 'Azure', 'Google Cloud Platform', 'SAS', 'SQL', 'Cloud Computing', 'Data Warehouse', 'Python', 'AWS']",11,"BJ's Wholesale Club, Inc.",4
80,Data Scientist,80000-99999,data_scientist,"['Data Mining', 'Machine Learning', 'R', 'Python', 'SQL']",5,Code Pilot,0
81,Data Scientist,80000-99999,data_scientist,"['Data Mining', 'Machine Learning', 'R', 'Python', 'Excel', 'SQL']",6,Talking Rain Beverage Company,4
82,Data Scientist,80000-99999,data_scientist,"['MySQL', 'Machine Learning', 'R', 'Python']",4,Bright Cellars,1
83,Data Scientist - Junior,80000-99999,data_scientist,"['Data Mining', 'Tableau']",2,MetroStar Systems,4
84,Data Scientist,80000-99999,data_scientist,"['Salesforce CRM', 'Pardot', 'Marketing Automation', 'SQL']",4,Omatic Software,0
85,Data Scientist,80000-99999,data_scientist,"['Certified Internal Auditor', 'UI']",2,Central Intelligence Agency,4
86,Data Scientist,80000-99999,data_scientist,"['Statistical Software', 'R', 'SAS', 'Microsoft Office', 'Excel', 'SQL', 'Big Data', 'Alteryx', 'SPSS', 'MATLAB', 'Six Sigma Certification', 'Six Sigma', 'Google Suite', 'Python']",14,Schnucks,4
87,Data Scientist / Prognostic Health Monitoring Specialist,80000-99999,data_scientist,"['Machine Learning', 'R', 'SQL', 'MATLAB', 'Python', 'Signal Processing']",6,Abbott Laboratories,4
88,Data Scientist,80000-99999,data_scientist,"['Perl', 'Statisical Analysis', 'C/C++', 'Java', 'Troubleshooting', 'Python']",6,Lawrence Berkeley National Laboratory,4
89,Data Scientist,80000-99999,data_scientist,"['.Net', 'C#', 'Machine Learning']",3,Shift Technology,0
90,Data Analytics - Data Scientist,80000-99999,data_scientist,"['Microsoft SQL Server', 'Microsoft Powerpoint', 'Visual Basic', 'SAP', 'SQL', 'Tableau', 'Six Sigma Certification']",7,Consumers Energy,4
91,Data Scientist,80000-99999,data_scientist,"['Data Mining', 'Machine Learning']",2,Penn State University,4
92,Data scientist,80000-99999,data_scientist,"['Business Intelligence', 'SQL', 'Excel', 'Microsoft Access']",4,VillageCare,3
93,Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'Visual Basic', 'R', 'Oracle', 'C/C++', 'SQL', 'Java', 'Python']",8,Intercontinental Exchange,4
94,Intern - Data Scientist,80000-99999,data_scientist,"['JavaScript', 'Spark', 'Machine Learning', 'Hadoop', 'Data Science']",5,Palo Alto Networks,4
95,Data Scientist,80000-99999,data_scientist,"['Data Mining', 'Machine Learning', 'R', 'Python', 'SQL']",5,The Rawlings Group,3
96,Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'Python', 'SQL', 'AWS']",4,Devoted Health,0
97,Data Scientist,80000-99999,data_scientist,"['Linux', 'Data Mining', 'R', 'Python', 'SQL']",5,Caris Life Sciences,3
98,Data Scientist (Corporate),80000-99999,data_scientist,"['Machine Learning', 'R', 'SAS', 'SQL', 'Customer Service', 'Teradata']",6,MGM Resorts International,4
99,Senior Data Scientist,80000-99999,data_scientist,"['Microsoft Powerpoint', 'Visual Basic', 'R', 'Python', 'SQL', 'Microsoft Office', 'Tableau']",7,ADT Corporation,3
100,Sr Data Scientist,80000-99999,data_scientist,"['Statistical Software', 'Data Mining', 'Microsoft SQL Server', 'Microsoft Powerpoint', 'R', 'Marketing', 'SAS', 'Oracle', 'Microsoft Office', 'Minitab', 'Teradata', 'STATA', 'SPSS', 'MATLAB', 'Python']",15,T-Mobile,4
101,Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'R', 'SQL']",3,OM Partners,0
102,Data Scientist - IS&T,80000-99999,data_scientist,"['Linux', 'Data Mining', 'Machine Learning', 'R', 'SAS', 'SQL', 'Natural Language Processing', 'Python']",8,Thomas Jefferson University and Hospitals,4
103,Data Science Development Program- Junior Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'R', 'Python', 'SQL']",4,MassMutual Financial Group,4
104,Data Scientist,80000-99999,data_scientist,"['TensorFlow', 'Hive', 'Hadoop', 'R', 'Python', 'SQL']",6,FourthWall Media,0
105,Data Scientist,80000-99999,data_scientist,"['Data Mining', 'Machine Learning', 'R', 'SAS', 'Data Science', 'Python', 'SQL']",7,Catalina Marketing,3
106,Data Scientist,80000-99999,data_scientist,"['Hive', 'Machine Learning', 'R', 'Python', 'SQL']",5,Adobe,4
107,Check and Deposit Fraud Data Scientist,80000-99999,data_scientist,"['AI', 'Data Mining', 'Microsoft SQL Server', 'Machine Learning', 'R', 'SAS', 'SQL', 'Tableau', 'ACH', 'Six Sigma', 'Python', 'DB2']",12,BB&T,4
108,Data Scientist,80000-99999,data_scientist,"['JavaScript', 'Machine Learning', 'XML', 'Hadoop', 'R', 'SQL', 'HTML5', 'Shell Scripting', 'CSS', 'Python', 'AWS']",11,Hearts and Science,0
109,"Data Scientist, Bioinformatics Developer",80000-99999,data_scientist,"['R', 'Bioinformatics', 'SQL', 'Software Development', 'NoSQL', 'Python']",6,AbbVie,4
110,Data Scientist,80000-99999,data_scientist,"['Certified Internal Auditor', 'UI']",2,usajobs.gov,4
111,Geospatial Data Scientist 2,80000-99999,data_scientist,"['NoSQL', 'Project Management', 'Python', 'SQL']",4,National Renewable Energy Laboratory,4
112,Data Scientist,80000-99999,data_scientist,"['Data Mining', '""Drivers License""', 'SQL']",3,Sandhills Publishing,4
113,Data Scientist,80000-99999,data_scientist,"['Time Management', 'Machine Learning', 'Project Management', 'R', 'SAS', 'SQL', 'Python']",7,Southern Methodist University,4
114,Data Scientist,80000-99999,data_scientist,"['XML', 'R', 'JSON', 'Git', 'REST', 'PostgreSQL', 'Data Analysis', 'Python']",8,Energy Sense Finance,0
115,"Data Scientist, Consumer Revenue",80000-99999,data_scientist,"['JavaScript', 'Google Analytics', 'Marketing', 'Python', 'SQL', 'Tableau']",6,New York Media LLC,2
116,Data Scientist (Bioinformatics),80000-99999,data_scientist,"['Linux', 'Perl', 'R', 'Bioinformatics', 'MySQL', 'Design Experience', 'Software Development', 'Cell Biology', 'Statistical Software', 'Oracle', 'Java', 'Python']",12,ESAC Inc,4
117,Data Scientist,80000-99999,data_scientist,"['Node.js', 'JavaScript', 'AI', 'Machine Learning', 'R', 'Python', 'SQL']",7,Aunalytics,0
118,Data Scientist - Intern/Coop,80000-99999,data_scientist,"['JavaScript', 'R', 'SQL', 'Excel', 'Tableau', 'Java', 'MySQL', 'NoSQL', 'Python', 'DB2']",10,IBM,4
119,Data Scientist,80000-99999,data_scientist,"['Project Management', 'R', 'SAS', 'Python', 'Tableau']",5,U.S. Bank,4
120,Data Scientist,80000-99999,data_scientist,"['TensorFlow', 'Data Mining', 'Machine Learning']",3,Vistra Energy,4
121,Data Scientist,80000-99999,data_scientist,"['Linux', 'R', 'MySQL', 'Git', 'Immunoassays']",5,Precision for Medicine,0
122,Principal Deep Learning Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'Image Processing']",2,Teradata,4
123,Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'Visual Basic', 'R', 'Python']",4,"Greene, Tweed & Co.",0
124,Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'Visual Basic', 'R', 'Python']",4,"Greene, Tweed & Co.",0
125,Data Scientist,80000-99999,data_scientist,"['Data Mining', 'Machine Learning', 'Military Experience', 'RMF']",4,PNC,4
126,Data Scientist-Marketing GCIA,80000-99999,data_scientist,"['Microsoft SQL Server', 'Data Mining', 'R', 'Oracle', 'SAS', 'SQL', 'Big Data', 'DB2']",8,Walmart,4
127,Junior Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'R', 'SQL', 'Analysis Skills', 'Python', 'Data Science']",6,Achievement Network (ANet),0
128,Data Scientist,80000-99999,data_scientist,"['TensorFlow', 'Data Mining', 'Machine Learning']",3,TXU Energy,4
129,"Principal Data Scientist, Connected Care",80000-99999,data_scientist,"['Machine Learning', 'Hadoop', 'Azure', 'R', 'SQL', 'T-SQL', 'PL/SQL', 'Spark', 'Git', 'Software Development', 'Python', 'AWS']",12,Stryker,4
130,Manufacturing Data Scientist,80000-99999,data_scientist,"['AI', 'Data Mining', 'Machine Learning', 'Six Sigma', 'Lean', 'Microsoft Office']",6,Nippon Dynawave Packaging,4
131,Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'R', 'Python']",3,Smith Hanley Associates,4
132,Machine Learning and Artificial Intelligence Scientist,80000-99999,data_scientist,"['AI', 'Machine Learning', 'R', 'Python']",4,BASF,4
133,Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'Data Management', 'MATLAB', 'R', 'SAS']",5,UPMC,4
134,Senior Data Scientist,80000-99999,data_scientist,"['Microsoft Powerpoint', 'Visual Basic', 'R', 'Python', 'SQL', 'Microsoft Office', 'Tableau']",7,ADT Security Services,3
135,Junior Data Scientist,80000-99999,data_scientist,"['Power BI', 'R', 'JSON', 'SQL', 'Tableau', 'Java', 'Natural Language Processing', 'MATLAB', 'OOP', 'Python']",10,Logistics Management Institute,4
136,Data Scientist,80000-99999,data_scientist,"['Data Mining', 'Machine Learning', 'R', 'Java', 'Natural Language Processing', 'Python']",6,Johns Hopkins,4
137,Data Scientist,80000-99999,data_scientist,"['Statistical Software', 'Data Analysis', 'R', 'SAS', 'Tableau']",5,Shippensburg University,4
138,Sr Medical Economics Data Scientist,80000-99999,data_scientist,"['Microsoft Powerpoint', 'R', 'SAS', 'Microsoft Office', 'Excel', 'SQL', 'Managed Care']",7,CareSource,4
139,Data Scientist,80000-99999,data_scientist,['Microsoft Office'],1,Universal Consulting Services,4
140,Digital Media Data Scientist,80000-99999,data_scientist,"['Microsoft SQL Server', 'Data Mining', 'R', 'Oracle', 'SAS', 'SQL', 'Teradata']",7,DISH,3
141,Data Scientist II- Clayton (Full Time),80000-99999,data_scientist,"['Statistical Software', 'Business Intelligence', 'Data Mining', 'Analysis Skills', 'Data Analysis', 'SAS', 'Business Analysis', 'SQL']",8,Commerce Bank,4
142,Data Scientist - Generalist,80000-99999,data_scientist,"['Java', 'MATLAB', 'Data Science', 'Python']",4,Beyond Limits,4
143,Data Scientist,80000-99999,data_scientist,"['Statistical Software', 'R', 'SAS', 'SQL', 'SPSS', 'Python']",6,Prime Therapeutics,3
144,Sr Data Scientist,80000-99999,data_scientist,['Machine Learning'],1,"NextEra Energy, Inc.",4
145,Data Scientist,80000-99999,data_scientist,['Microsoft Office'],1,UCS Consulting,0
146,Data Scientist I (664803),80000-99999,data_scientist,"['R', 'Statisical Analysis', 'SAS', 'Minitab', 'SPSS', 'Python']",6,Ball Corporation,4
147,AI Principal Data Scientist - PS12776,80000-99999,data_scientist,"['AI', 'Data Mining', 'Machine Learning']",3,"Anthem, Inc.",4
148,Sr Data Scientist,80000-99999,data_scientist,"['Hive', 'Data Mining', 'Machine Learning', 'Scripting', 'R', 'SQL', 'HBase', 'MongoDB', 'NoSQL', 'MATLAB']",10,"NextEra Energy, Inc.",4
149,Principal-Data Scientist,80000-99999,data_scientist,['Machine Learning'],1,AT&T,4
150,Data Scientist,80000-99999,data_scientist,"['Pig', 'Machine Learning', 'R', 'Perl', 'Sentiment Analytics', 'SQL', 'MySQL', 'SPSS', 'PostgreSQL', 'AI', 'Data Mining', 'Weka', 'Oracle', 'SAS', 'Minitab', 'Tableau', 'Spark', 'Python', 'Data Science']",19,West Corporation,3
151,Enterprise Data Scientist,80000-99999,data_scientist,"['Statistical Software', 'Microsoft Powerpoint', 'R', 'SAS', 'STATA', 'Microsoft Word', 'SPSS']",7,Parkland Health & Hospital System,4
152,Data Scientist,80000-99999,data_scientist,['AI'],1,Mayo Clinic,4
153,Consumer Banking Data Scientist,80000-99999,data_scientist,"['SAS', 'Excel', 'SQL', 'Microsoft Access']",4,SunTrust,4
154,Data Scientist,80000-99999,data_scientist,"['Quantitative Analysis', 'Visual Basic', 'R', 'Oracle', 'C/C++', 'Excel', 'SQL', 'Tableau', 'ArcGIS', 'Troubleshooting', 'QlikView', 'Python', 'GIS']",13,Deloitte,4
155,Senior Associate Data Scientist,80000-99999,data_scientist,"['AI', 'Machine Learning', 'R', 'SQL', 'Data Analysis', 'Python']",6,Amgen,4
156,Data Scientist,80000-99999,data_scientist,"['Hive', 'Data Mining', 'Ruby', 'Machine Learning', 'Hadoop', 'R', 'Statisical Analysis', 'C/C++', 'Java', 'Spark', 'MATLAB', 'Python', 'PHP']",13,K12,3
157,Data Scientist - Cancer Dependency Map,80000-99999,data_scientist,"['Machine Learning', 'R', 'MATLAB']",3,Broad Institute,4
158,Data Scientist for Autonomous Systems,80000-99999,data_scientist,"['TensorFlow', 'Machine Learning', 'R', 'MATLAB', 'Data Science', 'Python', 'C/C++']",7,Intel,4
159,New Account Fraud Data Scientist,80000-99999,data_scientist,"['Data Mining', 'Microsoft SQL Server', 'Machine Learning', 'R', 'SAS', 'SQL', 'Tableau', 'ACH', 'Six Sigma', 'Python', 'DB2']",11,BB&T,4
160,Analytics Data Scientist,80000-99999,data_scientist,"['TensorFlow', 'Hive', 'Machine Learning', 'R', 'Azure', 'Google Cloud Platform', 'Statisical Analysis', 'C/C++', 'SQL', 'MySQL', 'S3', 'JavaScript', 'Data Mining', 'Hadoop', 'Scripting', 'Java', 'Spark', 'Python', 'Data Science']",19,UCHealth,4
161,Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'C/C++', 'SQL', 'Troubleshooting', 'NoSQL', 'Python']",6,Foxconn,4
162,Quantitative Research Scientist / Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'Data Management', 'Network', 'R', 'C/C++', 'JSON', 'SQL', 'Haskell', 'Java', 'CI', 'Unit Testing', 'NoSQL', 'MATLAB', 'Python', 'OOP']",15,Octic Capital,0
163,Data Scientist,80000-99999,data_scientist,"['Data Mining', 'Machine Learning', 'R', 'Statisical Analysis', 'Java', 'Natural Language Processing', 'MATLAB', 'Python']",8,Johns Hopkins,4
164,Statistician (Data Scientist),80000-99999,data_scientist,"['Linux', 'System Design', 'Survival Analysis', 'Machine Learning', 'R', 'SQL', 'Java', 'MATLAB', 'Python']",9,Department of Veterans Affairs,4
165,Data Scientist Information Manager,80000-99999,data_scientist,"['Database Administration', 'Microsoft SQL Server', 'R', 'PostgreSQL', 'MATLAB', 'OOP', 'PHP', 'Drupal', 'Software Testing', 'SAS', 'Microsoft Office', 'Content Management Systems', 'ArcGIS', 'Troubleshooting', 'WordPress']",15,New Mexico State University,4
166,Senior Data Scientist,80000-99999,data_scientist,"['TensorFlow', 'Linux', 'Machine Learning', 'C/C++', 'Python', 'Jira']",6,Catalina Marketing,3
167,Consumer Banking Data Scientist,80000-99999,data_scientist,"['Data Mining', 'SAS', 'Excel', 'SQL', 'Microsoft Access']",5,SunTrust,4
168,Data Scientist I - Agent Based Modeler (Java/Python),80000-99999,data_scientist,"['Java', 'Machine Learning', 'Python']",3,USAA,4
169,Federal - Data Scientist,80000-99999,data_scientist,"['Big Data', 'SAS']",2,Accenture,4
170,Data Scientist,80000-99999,data_scientist,"['TensorFlow', 'Microsoft Project', 'Data Mining', 'Machine Learning', 'Hadoop', 'R', 'Scala', 'SAS', 'SQL', 'Excel', 'Tableau', 'Big Data', 'Natural Language Processing', 'Spark', 'SPSS', 'Visio', 'Python']",17,WellCare,4
