Unnamed: 0,Location,Company_Revenue,python,sql,machine learning,r,hadoop,Job_Title,Queried_Salary,Job_Type,Skill,No_of_Skills,Company,No_of_Stars,No_of_Reviews,Company_Industry,IL,WA,MD,DC,NC,Other_states,Consulting and Business Services,Internet and Software,Banks and Financial Services,Health Care,Insurance,Other_industries,Company_Employees,tableau,sas,spark,java,Others,CA,NY,VA,TX,MA
20,LA,Missing,1,0,1,1,0,innovationOchsner (iO) - Data Scientist - Benson Tower,<80000,data_scientist,"['AI', 'Data Mining', 'Machine Learning', 'R', 'Natural Language Processing', 'Data Science', 'Python']",7,Ochsner Health System,4,1299.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0,"10,000+",0,0,0,0,1,0,0,0,0,0
21,MO,More than $10B (USD),0,0,0,0,0,Statistician/Data Scientist,<80000,data_scientist,"['IIS', 'TS/SCI Clearance']",2,Raytheon,4,3166.0,Aerospace and Defense,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,0,0,1,0,0,0,0,0
22,MO,More than $10B (USD),0,0,0,0,0,Statistician / Data Scientist,<80000,data_scientist,"['IIS', 'TS/SCI Clearance']",2,Raytheon,4,3166.0,Aerospace and Defense,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,0,0,1,0,0,0,0,0
23,NY,Missing,0,1,0,0,0,"Environmental Data Scientist, Bureau of Environmental Survei...",<80000,data_scientist,"['Statistical Software', 'SAS', 'SQL', 'Tableau']",4,NYC Careers,4,265.0,Government,0,0,0,0,0,0,0,0,0,0,0,1,missing,1,1,0,0,1,0,1,0,0,0
24,GA,Missing,0,1,0,0,0,Environmental Data Manager/Data Scientist (Associate Level),<80000,data_scientist,"['Microsoft SQL Server', 'Data Management', 'Power BI', 'CAD Software', 'SQL', 'Microsoft Access', 'SharePoint', 'ArcGIS']",8,ERM Group,3,86.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0,missing,0,0,0,0,1,0,0,0,0,0
25,VA,Missing,1,0,0,1,0,Sr. Data Scientist - Secret,<80000,data_scientist,"['Data Mining', 'R', 'Python']",3,Deloitte,4,7197.0,Consulting and Business Services,0,0,0,0,0,0,1,0,0,0,0,0,"10,000+",0,0,0,0,1,0,0,1,0,0
26,LA,Missing,1,0,1,1,0,innovation Ochsner - iO - Data Scientist - Benson Tower,<80000,data_scientist,"['AI', 'Data Mining', 'Machine Learning', 'R', 'Natural Language Processing', 'Data Science', 'Python']",7,Ochsner Health System,4,1299.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0,"10,000+",0,0,0,0,1,0,0,0,0,0
27,NY,More than $10B (USD),0,0,0,0,0,"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,,0,Google,4,2641.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"10,000+",0,0,0,0,0,0,1,0,0,0
28,MA,More than $10B (USD),0,0,0,0,0,"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,,0,Google,4,2641.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"10,000+",0,0,0,0,0,0,0,0,0,1
29,CA,$1B to $5B (USD),1,0,1,0,0,Data Analysis & Machine Learning Postdoctoral Researcher,<80000,data_scientist,"['TensorFlow', 'Machine Learning', 'Git', 'Python', 'SVN']",5,Lawrence Livermore National Laboratory,4,111.0,Government,0,0,0,0,0,0,0,0,0,0,0,1,"Less than 10,000",0,0,0,0,1,1,0,0,0,0
30,CA,$5B to $10B (USD),0,0,1,0,0,Applied Machine Learning Scientist - Digital Imaging,<80000,data_scientist,"['TensorFlow', 'JavaScript', 'React', 'Data Mining', 'Adobe Photoshop', 'Machine Learning', 'CSS', 'HTML5']",8,Adobe,4,484.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"10,000+",0,0,0,0,1,1,0,0,0,0
31,GA,Missing,1,1,1,1,0,Machine Learning Scientist,<80000,data_scientist,"['TensorFlow', 'Machine Learning', 'R', 'Python', 'C/C++', 'SQL']",6,Intuitive Surgical,4,95.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,0,0,0,1,0,0,0,0,0
32,CA,More than $10B (USD),0,0,0,0,0,"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,,0,Google,4,2641.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"10,000+",0,0,0,0,0,1,0,0,0,0
33,MN,Missing,1,1,1,1,0,Data Scientist/Sr. Scientific Programmer (Researcher 6),<80000,data_scientist,"['Machine Learning', 'Scripting', 'R', 'Perl', 'SQL', 'MATLAB', 'Python']",7,University of Minnesota,4,930.0,Education and Schools,0,0,0,0,0,1,0,0,0,0,0,1,missing,0,0,0,0,1,0,0,0,0,0
34,WA,More than $10B (USD),0,0,0,0,0,"Google AI Resident, 2019 Start (Fixed-Term Employee)",<80000,data_scientist,,0,Google,4,2641.0,Internet and Software,0,1,0,0,0,0,0,1,0,0,0,0,"10,000+",0,0,0,0,0,0,0,0,0,0
35,CA,Missing,0,0,1,0,0,Machine Learning Intern (Summer 2019),<80000,data_scientist,"['Splunk', 'Data Mining', 'Machine Learning', 'Data Science']",4,Splunk,4,30.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"Less than 10,000",0,0,0,0,1,1,0,0,0,0
36,TX,Missing,0,0,0,0,0,Data Scientist (Research Director),<80000,data_scientist,['Grant Writing'],1,Southern Methodist University,4,126.0,Education and Schools,0,0,0,0,0,0,0,0,0,0,0,1,missing,0,0,0,0,1,0,0,0,1,0
37,WA,More than $10B (USD),1,0,1,0,1,Machine Learning Scientist II,<80000,data_scientist,"['Natural Language Processing', 'Hive', 'Spark', 'Microsoft Powerpoint', 'Machine Learning', 'Hadoop', 'MATLAB', 'Python']",8,Microsoft,4,5178.0,Internet and Software,0,1,0,0,0,0,0,1,0,0,0,0,"10,000+",0,0,1,0,1,0,0,0,0,0
38,NC,Missing,0,0,0,0,0,DATA SCIENTIST AND TEAM LEAD (Data Analytics Practice),<80000,data_scientist,"['Data Mining', 'Statisical Analysis', 'Qualitative Research']",3,Duke University and Duke University Health System,4,191.0,Health Care,0,0,0,0,1,0,0,0,0,1,0,0,missing,0,0,0,0,1,0,0,0,0,0
39,NC,Missing,1,1,0,1,0,"DATA SCIENTIST, PROSPECT RESEARCH, MGMT & ANALYTICS-UNIV DEV...",<80000,data_scientist,"['Java', 'R', 'SAS', 'Python', 'SQL', 'Tableau']",6,Duke University and Duke University Health System,4,191.0,Health Care,0,0,0,0,1,0,0,0,0,1,0,0,missing,1,1,0,1,0,0,0,0,0,0
40,IL,Missing,1,1,1,1,0,"Senior Data Scientist, Supply Chain",<80000,data_scientist,"['AI', 'Quantitative Analysis', 'Microsoft SQL Server', 'Machine Learning', 'Visual Basic', 'R', 'SQL', '.Net', 'C#', 'Python']",10,Coyote Logistics,4,165.0,Transport and Freight,1,0,0,0,0,0,0,0,0,0,0,1,"Less than 10,000",0,0,0,0,1,0,0,0,0,0
41,CA,$1B to $5B (USD),0,0,1,0,1,Machine Learning,<80000,data_scientist,"['Big Data', 'Natural Language Processing', 'Spark', 'Machine Learning', 'Hadoop']",5,Twitter,4,63.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"Less than 10,000",0,0,1,0,1,1,0,0,0,0
42,CA,Missing,1,0,1,0,0,Temporary Content Developer - Machine Learning,<80000,data_scientist,"['TensorFlow', 'Machine Learning', 'Python']",3,iD Tech,4,39.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,1,0,0,0,0
43,NY,$1B to $5B (USD),0,0,1,0,1,Machine Learning,<80000,data_scientist,"['Big Data', 'Natural Language Processing', 'Spark', 'Machine Learning', 'Hadoop']",5,Twitter,4,63.0,Internet and Software,0,0,0,0,0,0,0,1,0,0,0,0,"Less than 10,000",0,0,1,0,1,0,1,0,0,0
44,CO,Missing,0,0,1,0,0,Computer Vision Scientist (Machine Learning),<80000,data_scientist,"['TensorFlow', 'Machine Learning', 'Image Processing', 'C/C++']",4,Canvas Technology,0,0.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,0,0,0,1,0,0,0,0,0
45,UT,Missing,0,0,1,0,0,FamilySearch Machine Learning Annotation Specialist,<80000,data_scientist,"['Machine Learning', 'Microsoft Powerpoint', 'Microsoft Office']",3,The Church of Jesus Christ of Latter-day Saints,5,1324.0,Organization,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,0,0,1,0,0,0,0,0
46,OH,Less than $1B (USD),1,0,1,0,0,Machine Learning Research Scientist - Optics & Photonics Lab,<80000,data_scientist,"['.Net', 'C#', 'Machine Learning', 'Software Development', 'MATLAB', 'Image Processing', 'Signal Processing', 'Python', 'C/C++']",9,Riverside Research,4,15.0,Aerospace and Defense,0,0,0,0,0,1,0,0,0,0,0,1,"Less than 10,000",0,0,0,0,1,0,0,0,0,0
47,CA,Missing,0,0,1,0,0,Machine Learning Researcher SAN FRANCISCOMEMBER OF TECHNICAL...,<80000,data_scientist,"['AI', 'Machine Learning']",2,OpenAI,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,1,0,0,0,0
48,USA,Missing,1,0,1,1,0,Entry-Level Data Scientist,80000-99999,data_scientist,"['Java', 'Data Mining', 'Machine Learning', 'Design Experience', 'Scripting', 'R', 'SAS', 'Python']",8,IBM,4,23472.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0,"10,000+",0,1,0,1,1,0,0,0,0,0
49,OR,Missing,0,0,0,0,0,Trainee as Data Scientist (January to June 2019),80000-99999,data_scientist,"['Pentaho', 'Excel']",2,Asendia Management SAS,0,0.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,0,0,0,1,0,0,0,0,0
50,WA,More than $10B (USD),0,0,0,0,0,Data Scientist,80000-99999,data_scientist,['Data Mining'],1,T-Mobile,4,8595.0,Telecommunications,0,1,0,0,0,0,0,0,0,0,0,1,"10,000+",0,0,0,0,1,0,0,0,0,0
51,TX,More than $10B (USD),0,1,0,1,0,Data Scientist-Tchnlgy,80000-99999,data_scientist,"['Microsoft SQL Server', 'Data Mining', 'R', 'Oracle', 'SAS', 'SQL', 'DB2']",7,Walmart,4,157456.0,Retail,0,0,0,0,0,0,0,0,0,0,0,1,"10,000+",0,1,0,0,1,0,0,0,1,0
52,OH,Missing,0,0,0,0,0,Data Scientist,80000-99999,data_scientist,,0,UES,4,11.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,0,0,0,0,0,0,0,0,0
53,FL,$1B to $5B (USD),0,0,1,0,0,Data Scientist,80000-99999,data_scientist,"['Natural Language Processing', 'Machine Learning']",2,"NextEra Energy, Inc.",4,248.0,Energy and Utilities,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,0,0,1,0,0,0,0,0
54,IL,Missing,0,0,1,0,0,Data Scientist - Life Sciences,80000-99999,data_scientist,"['AI', 'Next Generation Sequencing', 'Machine Learning', 'Bioinformatics']",4,Argonne National Laboratory,4,156.0,Government,1,0,0,0,0,0,0,0,0,0,0,1,"10,000+",0,0,0,0,1,0,0,0,0,0
55,AR,More than $10B (USD),0,1,0,1,0,Data Scientist,80000-99999,data_scientist,"['Microsoft SQL Server', 'Data Mining', 'R', 'Oracle', 'SAS', 'SQL', 'DB2']",7,Walmart,4,157456.0,Retail,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,1,0,0,1,0,0,0,0,0
56,VA,Missing,0,0,0,0,0,Data Scientist,80000-99999,data_scientist,,0,Elder Research Inc,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,0,0,0,1,0,0
57,WA,More than $10B (USD),1,1,1,1,0,Data Scientist,80000-99999,data_scientist,"['.Net', 'Data Mining', 'C#', 'Machine Learning', 'R', 'C/C++', 'Python', 'SQL']",8,Microsoft,4,5178.0,Internet and Software,0,1,0,0,0,0,0,1,0,0,0,0,"10,000+",0,0,0,0,1,0,0,0,0,0
58,TX,More than $10B (USD),1,1,0,1,0,Data Scientist,80000-99999,data_scientist,"['Data Mining', 'Data Warehouse', 'R', 'SAS', 'Statisical Analysis', 'Python', 'SQL']",7,Dell,4,8696.0,Computers and Electronics,0,0,0,0,0,0,0,0,0,0,0,1,"10,000+",0,1,0,0,1,0,0,0,1,0
59,VA,Missing,0,0,0,0,0,Data Scientist,80000-99999,data_scientist,,0,Elder Research Inc,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,0,0,0,1,0,0
60,PA,$5B to $10B (USD),1,1,1,1,0,Data Scientist - Labor Planning & Analytics,80000-99999,data_scientist,"['Machine Learning', 'R', 'Microsoft Office', 'SQL', 'Alteryx', 'Data Warehouse', 'Python']",7,Dick's Sporting Goods,4,4635.0,Retail,0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,0,0,1,0,0,0,0,0
61,MO,$1B to $5B (USD),1,1,1,1,1,Associate Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'R', 'Perl', 'C/C++', 'SQL', 'Big Data', 'SPSS', 'MATLAB', 'Data Mining', 'Ruby', 'Hadoop', 'SAS', 'Tableau', 'Java', 'Spark', 'Git', 'Python', 'Data Science']",18,Hallmark,4,3006.0,Consumer Goods and Services,0,0,0,0,0,1,0,0,0,0,0,1,"Less than 10,000",1,1,1,1,1,0,0,0,0,0
62,NC,More than $10B (USD),1,0,1,1,1,D3 - Junior Data Scientist 1,80000-99999,data_scientist,"['Machine Learning', 'R', 'Perl', 'SPSS', 'MATLAB', 'Statistical Software', 'Hadoop', 'SAS', 'Java', 'Python']",10,Allstate,4,5671.0,Insurance,0,0,0,0,1,0,0,0,0,0,1,0,"10,000+",0,1,0,1,1,0,0,0,0,0
63,ME,Missing,1,1,0,1,0,Data Scientist,80000-99999,data_scientist,"['R', 'Marketing', 'SAS', 'SQL', 'Python']",5,L. L. Bean,4,381.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,1,0,0,1,0,0,0,0,0
64,CA,Missing,0,0,0,0,0,Data Scientist,80000-99999,data_scientist,,0,University of California San Francisco,4,282.0,Education and Schools,0,0,0,0,0,0,0,0,0,0,0,1,missing,0,0,0,0,0,1,0,0,0,0
65,IL,Missing,1,1,1,1,0,Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'R', 'SAS', 'Python', 'SQL']",5,Wunderman,4,197.0,Not Listed,1,0,0,0,0,0,0,0,0,0,0,0,missing,0,1,0,0,0,0,0,0,0,0
66,NV,$5B to $10B (USD),0,0,0,0,0,Data Scientist (Corporate),80000-99999,data_scientist,"['Data Mining', 'Statisical Analysis', 'Customer Service']",3,MGM Resorts International,4,1296.0,"Restaurants, Travel and Leisure",0,0,0,0,0,1,0,0,0,0,0,1,"10,000+",0,0,0,0,1,0,0,0,0,0
67,CT,$1B to $5B (USD),0,0,1,0,0,Junior Data Scientist,80000-99999,data_scientist,"['Java', 'AI', 'Machine Learning']",3,Interactive Brokers,3,27.0,Banks and Financial Services,0,0,0,0,0,1,0,0,1,0,0,0,"Less than 10,000",0,0,0,1,1,0,0,0,0,0
68,WA,More than $10B (USD),1,0,1,1,1,D3 - Junior Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'R', 'Perl', 'SPSS', 'MATLAB', 'Statistical Software', 'Hadoop', 'SAS', 'Java', 'Python']",10,Allstate,4,5671.0,Insurance,0,1,0,0,0,0,0,0,0,0,1,0,"10,000+",0,1,0,1,1,0,0,0,0,0
69,REMOTE,Less than $1B (USD),1,1,1,0,0,Data Scientist II (Forecasting & Scheduling),80000-99999,data_scientist,"['Predictive Analytics', 'Hive', 'Spark', 'Machine Learning', 'Python', 'SQL', 'AWS']",7,Grubhub,3,322.0,Internet and Software,0,0,0,0,0,1,0,1,0,0,0,0,"Less than 10,000",0,0,1,0,1,0,0,0,0,0
70,RI,Missing,1,1,1,1,0,Data Scientist,80000-99999,data_scientist,"['Business Intelligence', 'Data Mining', 'Machine Learning', 'R', 'SAS', 'Sentiment Analytics', 'SQL', 'SPSS', 'Data Science', 'Python']",10,Amica Insurance Company,4,198.0,Insurance,0,0,0,0,0,1,0,0,0,0,1,0,"Less than 10,000",0,1,0,0,1,0,0,0,0,0
71,PA,More than $10B (USD),0,0,1,1,0,Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'Data Management', 'MATLAB', 'R', 'SAS']",5,UPMC,4,2433.0,Health Care,0,0,0,0,0,1,0,0,0,1,0,0,"10,000+",0,1,0,0,1,0,0,0,0,0
72,NY,Missing,1,1,1,1,1,Data Scientist,80000-99999,data_scientist,"['JavaScript', 'Machine Learning', 'XML', 'Hadoop', 'R', 'SQL', 'HTML5', 'Shell Scripting', 'CSS', 'Python', 'AWS']",11,Hearts and Science,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,0,1,0,0,0
73,NY,Missing,1,1,1,1,1,Data Scientist,80000-99999,data_scientist,"['JavaScript', 'Machine Learning', 'XML', 'Hadoop', 'R', 'SQL', 'HTML5', 'Shell Scripting', 'CSS', 'Python', 'AWS']",11,Hearts and Science,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,0,1,0,0,0
74,VA,Less than $1B (USD),0,0,0,0,0,"Data Scientist, International Programs",80000-99999,data_scientist,"['Data Mining', 'Excel']",2,Operation Smile,5,32.0,Organization,0,0,0,0,0,0,0,0,0,0,0,1,"Less than 10,000",0,0,0,0,1,0,0,1,0,0
75,FL,Missing,1,0,0,1,0,Data Scientist (Python/R) – People Analytics - USDC,80000-99999,data_scientist,"['Data Mining', 'R', 'SAS', 'Sentiment Analytics', 'Microsoft Office', 'Tableau', 'Natural Language Processing', 'Python', 'Data Science']",9,Deloitte,4,7197.0,Consulting and Business Services,0,0,0,0,0,1,1,0,0,0,0,0,"10,000+",1,1,0,0,1,0,0,0,0,0
76,TN,Missing,0,1,1,1,0,Data Scientist,80000-99999,data_scientist,"['Machine Learning', 'R', 'SAS', 'Microsoft Office', 'SQL']",5,Sedgwick Claims Management Services,3,1005.0,Insurance,0,0,0,0,0,1,0,0,0,0,1,0,"10,000+",0,1,0,0,1,0,0,0,0,0
77,FL,More than $10B (USD),0,0,0,0,0,Data Scientist II,80000-99999,data_scientist,"['Business Intelligence', 'Power BI', 'Tableau']",3,MetLife,4,3842.0,Insurance,0,0,0,0,0,1,0,0,0,0,1,0,"10,000+",1,0,0,0,1,0,0,0,0,0
78,NY,Missing,1,1,1,1,0,Junior Data Scientist,80000-99999,data_scientist,"['AI', 'Machine Learning', 'R', 'Python', 'SQL', 'Tableau']",6,Dow Jones,4,181.0,"Media, News and Publishing",0,0,0,0,0,0,0,0,0,0,0,1,"Less than 10,000",1,0,0,0,1,0,1,0,0,0
79,MA,More than $10B (USD),1,1,1,0,0,"Data Scientist, Membership Analytics Job",80000-99999,data_scientist,"['Data Mining', 'Machine Learning', 'Project Management', 'Azure', 'Google Cloud Platform', 'SAS', 'SQL', 'Cloud Computing', 'Data Warehouse', 'Python', 'AWS']",11,"BJ's Wholesale Club, Inc.",4,2550.0,Retail,0,0,0,0,0,0,0,0,0,0,0,1,"10,000+",0,1,0,0,1,0,0,0,0,1
80,TX,Missing,1,1,1,1,0,Data Scientist,80000-99999,data_scientist,"['Data Mining', 'Machine Learning', 'R', 'Python', 'SQL']",5,Code Pilot,0,0.0,Not Listed,0,0,0,0,0,0,0,0,0,0,0,0,missing,0,0,0,0,1,0,0,0,1,0
81,WA,Less than $1B (USD),1,1,1,1,0,Data Scientist,80000-99999,data_scientist,"['Data Mining', 'Machine Learning', 'R', 'Python', 'Excel', 'SQL']",6,Talking Rain Beverage Company,4,17.0,Consumer Goods and Services,0,1,0,0,0,0,0,0,0,0,0,1,"Less than 10,000",0,0,0,0,1,0,0,0,0,0
82,WI,Missing,1,0,1,1,0,Data Scientist,80000-99999,data_scientist,"['MySQL', 'Machine Learning', 'R', 'Python']",4,Bright Cellars,1,3.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,0,0,0,1,0,0,0,0,0
83,DC,Missing,0,0,0,0,0,Data Scientist - Junior,80000-99999,data_scientist,"['Data Mining', 'Tableau']",2,MetroStar Systems,4,11.0,Not Listed,0,0,0,1,0,0,0,0,0,0,0,0,"Less than 10,000",1,0,0,0,1,0,0,0,0,0
84,SC,Missing,0,1,0,0,0,Data Scientist,80000-99999,data_scientist,"['Salesforce CRM', 'Pardot', 'Marketing Automation', 'SQL']",4,Omatic Software,0,0.0,Not Listed,0,0,0,0,0,1,0,0,0,0,0,0,missing,0,0,0,0,1,0,0,0,0,0
85,DC,Missing,0,0,0,0,0,Data Scientist,80000-99999,data_scientist,"['Certified Internal Auditor', 'UI']",2,Central Intelligence Agency,4,158.0,Government,0,0,0,1,0,0,0,0,0,0,0,1,missing,0,0,0,0,1,0,0,0,0,0
